"school_id","school_year","school_year_id","school_name","category","arts_approved","ratio_approved_csc","school_average_minutes","arts_course_enrollment","percent_access","budget_per_student","count_partnerships","final_score","longitude","latitude","community_area","laef","category_simple","visual_arts","music","theatre","dance"
418,"2023-24",13,"Edward N Hurley Elementary School","elementary_school",2,328.5,123.470319634703,657,1,7.6103500761035,6,1,"-87.7192","41.7664","West Lawn",FALSE,"Elementary Schools",27,27,0,0
419,"2023-24",13,"Galileo Math & Science Scholastic Academy ES","elementary_school",1,533,53.3583489681051,533,1,15.0093808630394,11,2,"-87.65373","41.87106","Near West Side",FALSE,"Elementary Schools",19,0,0,0
420,"2023-24",13,"Friedrich Ludwig Jahn Elementary School","elementary_school",2,114,496.315789473684,228,1,92.1052631578947,6,1,"-87.67531","41.93909","North Center",FALSE,"Elementary Schools",16,16,0,0
421,"2023-24",13,"Minnie Mars Jamieson Elementary School","elementary_school",2,392,104.119897959184,784,1,3.8265306122449,9,2,"-87.70097","41.98441","West Ridge",FALSE,"Elementary Schools",34,34,0,0
423,"2023-24",13,"Pilsen Elementary Community Academy","elementary_school",1,214,147.196261682243,214,1,7.00934579439252,2,2,"-87.66314","41.85906","Lower West Side",FALSE,"Elementary Schools",8,0,0,0
424,"2023-24",13,"Joseph Jungman Elementary School","elementary_school",2,125.5,179.641434262948,251,1,1.99203187250996,9,2,"-87.65248179999999","41.8585937","Lower West Side",FALSE,"Elementary Schools",9,9,0,0
425,"2023-24",13,"Kate S Kellogg Elementary School","elementary_school",1,289,112.147651006711,298,1,1.03806228373702,2,2,"-87.67683629999999","41.7251914","Beverly",FALSE,"Elementary Schools",9,0,0,0
426,"2023-24",13,"Maria Saucedo Elementary Scholastic Academy","elementary_school",6,123.166666666667,189.421487603306,968,1,23.0040595399188,6,1,"-87.69784","41.84856","South Lawndale",FALSE,"Elementary Schools",33,31,0,0
428,"2023-24",13,"Joshua D Kershaw Elementary School","elementary_school",1,191,75.6282722513089,191,1,7.85340314136126,9,1,"-87.6414","41.77668","Englewood",FALSE,"Elementary Schools",19,0,0,0
430,"2023-24",13,"Pablo Casals Elementary School","elementary_school",1,315,147.142857142857,315,1,3.17460317460317,1,2,"-87.71458","41.90404","Humboldt Park",FALSE,"Elementary Schools",17,0,0,0
431,"2023-24",13,"Joyce Kilmer Elementary School","elementary_school",2,359.5,89.1758917589176,813,1,10.4311543810848,1,3,"-87.66847","42.00419","Rogers Park",FALSE,"Elementary Schools",37,37,0,0
433,"2023-24",13,"Lazaro Cardenas Elementary School","elementary_school",1,724,60,256,0.353591160220994,2.76243093922652,2,4,"-87.7157926","41.8483814","South Lawndale",FALSE,"Elementary Schools",13,0,0,0
434,"2023-24",13,"John H Kinzie Elementary School","elementary_school",2,317,123.667192429022,634,1,129.337539432177,8,2,"-87.77902429999999","41.7902142","Garfield Ridge",TRUE,"Elementary Schools",33,0,0,32
435,"2023-24",13,"Rudyard Kipling Elementary School","elementary_school",1,209,110.526315789474,209,1,0.478468899521531,5,1,"-87.63906","41.7237","Washington Heights",FALSE,"Elementary Schools",0,10,0,0
437,"2023-24",13,"Rodolfo Lozano Bilingual & International Ctr ES","elementary_school",1,200,97.1904761904762,210,1,95,8,1,"-87.66478","41.9092","West Town",TRUE,"Elementary Schools",17,0,0,0
438,"2023-24",13,"Charles Kozminski Elementary Community Academy","elementary_school",1,214,135.420560747664,214,1,93.4579439252336,6,1,"-87.60239","41.79848","Hyde Park",TRUE,"Elementary Schools",9,0,0,0
440,"2023-24",13,"Wendell E Green Elementary School","elementary_school",1,282,96.3829787234042,282,1,8.86524822695035,2,2,"-87.65239","41.71952","Washington Heights",TRUE,"Elementary Schools",0,25,0,0
441,"2023-24",13,"LaSalle Elementary Language Academy","elementary_school",1,488,117.786885245902,488,1,6.14754098360656,11,2,"-87.63804","41.91382","Lincoln Park",FALSE,"Elementary Schools",18,0,0,0
442,"2023-24",13,"Lawndale Elementary Community Academy","elementary_school",1,173,122.080924855491,173,1,127.167630057803,5,2,"-87.71329","41.86315","North Lawndale",FALSE,"Elementary Schools",9,0,0,0
443,"2023-24",13,"Leslie Lewis Elementary School","elementary_school",1,332.5,150.375939849624,399,1,0,1,3,"-87.75432","41.90707","Austin",FALSE,"Elementary Schools",0,21,0,0
444,"2023-24",13,"Arthur A Libby Elementary School","elementary_school",0,NA,0,0,0,0,2,4,"-87.66004","41.79721","New City",FALSE,"Elementary Schools",14,0,0,0
445,"2023-24",13,"Abraham Lincoln Elementary School","elementary_school",4.5,183.260869565217,132.8625,800,0.948991696322657,12.5670225385528,5,1,"-87.64453","41.92435","Lincoln Park",FALSE,"Elementary Schools",39,27,0,0
446,"2023-24",13,"Carl von Linne Elementary School","elementary_school",2,310,114.870967741935,620,1,12.9032258064516,9,1,"-87.70214","41.94024","Avondale",FALSE,"Elementary Schools",35,35,0,0
447,"2023-24",13,"Henry D Lloyd Elementary School","elementary_school",2,333.5,114.692653673163,667,1,1.19940029985008,3,2,"-87.74827","41.91902","Belmont Cragin",FALSE,"Elementary Schools",30,25,0,0
448,"2023-24",13,"Josephine C Locke Elementary School","elementary_school",2.5,406.4,91.4320866141732,1016,1,0.984251968503937,0,3,"-87.7961","41.93191","Montclare",FALSE,"Elementary Schools",39,23,0,0
449,"2023-24",13,"Joseph Lovett Elementary School","elementary_school",2,157,152.866242038217,314,1,31.8471337579618,3,1,"-87.78426","41.91263","Austin",FALSE,"Elementary Schools",15,15,0,0
450,"2023-24",13,"James Russell Lowell Elementary School","elementary_school",2,133,153.609022556391,266,1,19.5488721804511,3,1,"-87.71053","41.9067","Humboldt Park",FALSE,"Elementary Schools",17,17,0,0
452,"2023-24",13,"Mary Lyon Elementary School","elementary_school",4,232.439024390244,98.2161594963274,953,1,3.14795383001049,4,2,"-87.77689","41.93433","Belmont Cragin",FALSE,"Elementary Schools",27,39,0,0
453,"2023-24",13,"James Madison Elementary School","elementary_school",1,197,100,197,1,710.659898477157,8,1,"-87.59045","41.76002","South Shore",FALSE,"Elementary Schools",0,0,0,9
454,"2023-24",13,"George Manierre Elementary School","elementary_school",1,245,101.818181818182,231,1,4.08163265306122,3,2,"-87.6403","41.90776","Near North Side",TRUE,"Elementary Schools",11,0,0,0
455,"2023-24",13,"Northwest Middle School","middle_school",2,256.5,124.093567251462,513,1,14.6198830409357,5,1,"-87.75788","41.92111","Belmont Cragin",FALSE,NA,20,20,0,0
456,"2023-24",13,"Horace Mann Elementary School","elementary_school",0.5,506,142.292490118577,253,1,11.8577075098814,3,1,"-87.57541","41.7488","South Chicago",FALSE,"Elementary Schools",11,0,0,0
457,"2023-24",13,"Marquette Elementary School","elementary_school",2,464,114.310344827586,928,1,0.538793103448276,1,2,"-87.69713","41.77518","Chicago Lawn",FALSE,"Elementary Schools",42,0,37,0
458,"2023-24",13,"John L Marsh Elementary School","elementary_school",1,500.909090909091,83.0869565217391,460,0.834845735027223,9.07441016333938,1,3,"-87.5533","41.71635","South Deering",FALSE,"Elementary Schools",0,18,0,0
459,"2023-24",13,"Michael Faraday Elementary School","elementary_school",1,146,103.561643835616,146,1,13.6986301369863,0,2,"-87.70826","41.87989","East Garfield Park",FALSE,"Elementary Schools",9,0,0,0
460,"2023-24",13,"Roswell B Mason Elementary School","elementary_school",1,213,93.8297872340426,188,0.882629107981221,140.845070422535,6,2,"-87.73081","41.85648","North Lawndale",FALSE,"Elementary Schools",8,0,0,0
461,"2023-24",13,"Fairfield Elementary Academy","elementary_school",1,453,64.5033112582781,453,1,2.2075055187638,2,3,"-87.69161","41.78061","Chicago Lawn",FALSE,"Elementary Schools",1,0,0,0
463,"2023-24",13,"Oscar F Mayer Elementary School","elementary_school",2,300,103.049284578696,629,0.998412698412698,43.6507936507937,7,1,"-87.6577","41.92296","Lincoln Park",FALSE,"Elementary Schools",38,37,0,0
464,"2023-24",13,"Chicago World Language Academy","elementary_school",1.5,302,52.9139072847682,453,1,0.551876379690949,1,2,"-87.66112","41.87477","Near West Side",FALSE,"Elementary Schools",16,0,16,0
466,"2023-24",13,"Minnie Miñoso Academy","elementary_school",1.5,200.666666666667,169.833887043189,301,1,33.2225913621262,3,1,"-87.64084","41.83037","Bridgeport",FALSE,"Elementary Schools",19,17,0,0
467,"2023-24",13,"Cyrus H McCormick Elementary School","elementary_school",1,352,58.9772727272727,352,1,4.97159090909091,3,3,"-87.70659","41.84201","South Lawndale",TRUE,"Elementary Schools",14,0,0,0
468,"2023-24",13,"Emmett Louis Till Math & Science Academy","elementary_school",0,2740,190.948905109489,274,1,3.64963503649635,2,2,"-87.60908","41.77536","Woodlawn",FALSE,"Elementary Schools",12,0,14,0
469,"2023-24",13,"James E McDade Elementary Classical School","elementary_school",1,217,60,217,1,100,3,2,"-87.61801","41.73435","Chatham",FALSE,"Elementary Schools",0,9,0,0
470,"2023-24",13,"Francis M McKay Elementary School","elementary_school",1,546,87.5728155339806,618,1,1.83150183150183,2,2,"-87.69151","41.76774","Chicago Lawn",FALSE,"Elementary Schools",34,0,0,0
471,"2023-24",13,"Hanson Park Elementary School","elementary_school",4,247.317073170732,110.295857988166,1014,1,1.9723865877712,5,2,"-87.76213","41.92333","Belmont Cragin",FALSE,"Elementary Schools",43,54,0,0
472,"2023-24",13,"James B McPherson Elementary School","elementary_school",2,306.5,109.037520391517,613,1,40.7830342577488,3,2,"-87.67695","41.96815","Lincoln Square",FALSE,"Elementary Schools",25,28,0,0
474,"2023-24",13,"Ellen Mitchell Elementary School","elementary_school",1,366,89.8360655737705,366,1,106.55737704918,5,1,"-87.68349","41.89194","West Town",TRUE,"Elementary Schools",15,0,0,0
475,"2023-24",13,"Logan Square Elementary School (formerly Monroe Elementary)","elementary_school",2,275.5,102.141560798548,551,1,16.8856624319419,4,1,"-87.71908","41.92952","Logan Square",FALSE,"Elementary Schools",23,27,0,0
477,"2023-24",13,"Bernhard Moos Elementary School","elementary_school",2,198,129.924242424242,396,1,15.1515151515152,4,1,"-87.69633","41.91307","West Town",FALSE,"Elementary Schools",16,16,0,0
478,"2023-24",13,"Donald Morrill Math & Science Elementary School","elementary_school",0,4690,0,469,1,31.9829424307036,4,3,"-87.6881","41.78404","Chicago Lawn",FALSE,"Elementary Schools",NA,NA,NA,NA
479,"2023-24",13,"Inter-American Elementary Magnet School","elementary_school",3,190.322580645161,157.932203389831,590,1,0,7,2,"-87.65127","41.94872","Lake View",FALSE,"Elementary Schools",23,23,0,23
480,"2023-24",13,"Mark Sheridan Elementary Math & Science Academy","elementary_school",1,532,64.8477443609023,532,1,0,2,3,"-87.6411","41.8441","Bridgeport",FALSE,"Elementary Schools",0,18,0,0
481,"2023-24",13,"Mount Greenwood Elementary School","elementary_school",3,371.666666666667,119.838565022422,1115,1,0.896860986547085,1,3,"-87.70523","41.69607","Mount Greenwood",TRUE,"Elementary Schools",41,41,0,0
482,"2023-24",13,"Daniel C Beard Elementary School","elementary_school",1,64,164.0625,64,1,203.125,4,1,"-87.79001","41.96994","Norwood Park",FALSE,"Elementary Schools",25,0,0,0
483,"2023-24",13,"Annie Keller Elementary Gifted Magnet School","elementary_school",0.5,440,79.6363636363636,220,1,5.45454545454545,3,2,"-87.69692","41.69741","Mount Greenwood",FALSE,"Elementary Schools",8,0,0,0
485,"2023-24",13,"Mount Vernon Elementary School","elementary_school",0,NA,0,232,1,17.2413793103448,1,4,"-87.64838","41.70229","Washington Heights",FALSE,"Elementary Schools",12,0,0,0
486,"2023-24",13,"Blair Early Childhood Center","elementary_school",0.5,154,146.103896103896,77,1,585.064935064935,6,1,"-87.78971","41.77634","Clearing",FALSE,"Elementary Schools",14,0,0,0
487,"2023-24",13,"Wolfgang A Mozart Elementary School","elementary_school",3,149.333333333333,220.647321428571,448,1,49.8883928571429,3,1,"-87.72247","41.92137","Logan Square",FALSE,"Elementary Schools",24,20,0,24
488,"2023-24",13,"John B Murphy Elementary School","elementary_school",3,138.666666666667,180.144230769231,416,1,48.0769230769231,2,1,"-87.71709","41.94974","Irving Park",FALSE,"Elementary Schools",18,18,0,18
489,"2023-24",13,"Phillip Murray Elementary Language Academy","elementary_school",1,464,58.8362068965517,464,1,16.1637931034483,4,2,"-87.59345","41.798","Hyde Park",FALSE,"Elementary Schools",0,18,0,0
490,"2023-24",13,"Ronald Brown Elementary Community Academy","elementary_school",0,NA,0,0,0,44.8979591836735,3,4,"-87.6387","41.66486","West Pullman",TRUE,"Elementary Schools",NA,NA,NA,NA
491,"2023-24",13,"Henry H Nash Elementary School","elementary_school",2,119,122.521008403361,238,1,46.218487394958,4,1,"-87.7472655","41.8920702","Austin",TRUE,"Elementary Schools",20,0,20,0
492,"2023-24",13,"Jane A Neil Elementary School","elementary_school",0.5,472,81.593220338983,236,1,41.4406779661017,0,3,"-87.62058","41.73861","Chatham",TRUE,"Elementary Schools",29,0,0,0
493,"2023-24",13,"Louis Nettelhorst Elementary School","elementary_school",3,196.333333333333,186.41765704584,589,1,2.03735144312394,5,2,"-87.64516","41.9415","Lake View",FALSE,"Elementary Schools",3,3,3,0
494,"2023-24",13,"Walter L Newberry Math & Science Academy ES","elementary_school",1,311,54.7909967845659,311,1,6.43086816720257,3,3,"-87.64632069999999","41.9144428","Lincoln Park",FALSE,"Elementary Schools",0,15,0,0
495,"2023-24",13,"Florence Nightingale Elementary School","elementary_school",2,431.5,60.0695249130939,863,1,15.063731170336,3,2,"-87.68942","41.79819","Gage Park",FALSE,"Elementary Schools",37,36,0,0
496,"2023-24",13,"William P Nixon Elementary School","elementary_school",2,300.5,125.590682196339,601,1,69.8835274542429,7,1,"-87.73091","41.91952","Hermosa",FALSE,"Elementary Schools",25,25,0,0
497,"2023-24",13,"Alfred Nobel Elementary School","elementary_school",1,564,55.6026058631922,614,1,32.7836879432624,6,2,"-87.73005","41.90624","Humboldt Park",FALSE,"Elementary Schools",29,0,0,0
498,"2023-24",13,"Norwood Park Elementary School","elementary_school",1,305,74.7532894736842,304,0.99672131147541,3.9344262295082,3,3,"-87.80265","41.98924","Norwood Park",FALSE,"Elementary Schools",0,13,0,0
499,"2023-24",13,"West Park Elementary Academy","elementary_school",1,403,179.255583126551,403,1,9.92555831265509,6,1,"-87.73216","41.90685","Humboldt Park",FALSE,"Elementary Schools",18,18,0,0
